METHODS	net/minecraft/world/level/Level	setBlock	(Lnet/minecraft/core/BlockPos;Lnet/minecraft/world/level/block/state/BlockState;I)Z	0
METHODS	net/minecraft/world/level/Level	dimension	()Lnet/minecraft/resources/ResourceKey;	0
METHODS	net/minecraft/world/level/block/Block	defaultBlockState	()Lnet/minecraft/world/level/block/state/BlockState;	0
METHODS	net/minecraft/world/level/block/state/BlockBehaviour$Properties	of	()Lnet/minecraft/world/level/block/state/BlockBehaviour$Properties;	1
METHODS	net/minecraft/world/level/block/state/BlockBehaviour$Properties	strength	(F)Lnet/minecraft/world/level/block/state/BlockBehaviour$Properties;	0
METHODS	net/minecraft/server/level/ServerLevel	addFreshEntity	(Lnet/minecraft/world/entity/Entity;)Z	0
METHODS	net/minecraft/world/entity/Entity	level	()Lnet/minecraft/world/level/Level;	0
METHODS	net/minecraft/world/entity/Entity	getX	()D	0
METHODS	net/minecraft/world/entity/Entity	getY	()D	0
METHODS	net/minecraft/world/entity/Entity	getZ	()D	0
METHODS	net/minecraft/world/level/Level	isClientSide	()Z	0
METHODS	net/minecraft/core/Vec3i	getX	()I	0
METHODS	net/minecraft/core/Vec3i	getY	()I	0
METHODS	net/minecraft/core/Vec3i	getZ	()I	0
METHODS	net/minecraft/world/level/block/state/BlockBehaviour$BlockStateBase	getBlock	()Lnet/minecraft/world/level/block/Block;	0
METHODS	net/minecraft/world/entity/Entity	getId	()I	0
METHODS	net/minecraft/world/entity/Entity	isAlive	()Z	0
METHODS	net/minecraft/world/entity/Entity	moveTo	(DDDFF)V	0
METHODS	net/minecraft/world/entity/LivingEntity	getAttribute	(Lnet/minecraft/world/entity/ai/attributes/Attribute;)Lnet/minecraft/world/entity/ai/attributes/AttributeInstance;	0
METHODS	net/minecraft/world/entity/LivingEntity	setHealth	(F)V	0
METHODS	net/minecraft/world/entity/LivingEntity	getMaxHealth	()F	0
METHODS	net/minecraft/world/entity/ai/attributes/AttributeInstance	setBaseValue	(D)V	0
METHODS	net/minecraft/world/level/EntityGetter	getEntitiesOfClass	(Ljava/lang/Class;Lnet/minecraft/world/phys/AABB;)Ljava/util/List;	0
METHODS	net/minecraft/world/entity/EntityType$Builder	of	(Lnet/minecraft/world/entity/EntityType$EntityFactory;Lnet/minecraft/world/entity/MobCategory;)Lnet/minecraft/world/entity/EntityType$Builder;	1
METHODS	net/minecraft/world/entity/EntityType$Builder	sized	(FF)Lnet/minecraft/world/entity/EntityType$Builder;	0
METHODS	net/minecraft/world/entity/EntityType$Builder	clientTrackingRange	(I)Lnet/minecraft/world/entity/EntityType$Builder;	0
METHODS	net/minecraft/world/entity/EntityType$Builder	build	(Ljava/lang/String;)Lnet/minecraft/world/entity/EntityType;	0
METHODS	net/minecraft/world/entity/animal/Pig	createAttributes	()Lnet/minecraft/world/entity/ai/attributes/AttributeSupplier$Builder;	1
METHODS	net/minecraft/world/entity/ai/attributes/AttributeSupplier$Builder	build	()Lnet/minecraft/world/entity/ai/attributes/AttributeSupplier;	0
METHODS	net/minecraft/world/entity/EntityType$EntityFactory	create	(Lnet/minecraft/world/entity/EntityType;Lnet/minecraft/world/level/Level;)Lnet/minecraft/world/entity/Entity;	0
METHODS	net/minecraft/world/item/Item$Properties	stacksTo	(I)Lnet/minecraft/world/item/Item$Properties;	0
METHODS	net/minecraft/world/entity/Entity	getYRot	()F	0
METHODS	net/minecraft/world/entity/Entity	getXRot	()F	0
METHODS	net/minecraft/world/entity/Entity	getEyePosition	()Lnet/minecraft/world/phys/Vec3;	0
METHODS	net/minecraft/world/entity/Entity	getLookAngle	()Lnet/minecraft/world/phys/Vec3;	0
METHODS	net/minecraft/world/damagesource/DamageSource	getEntity	()Lnet/minecraft/world/entity/Entity;	0
FIELDS	net/minecraft/world/phys/Vec3	x	D	0
FIELDS	net/minecraft/world/phys/Vec3	y	D	0
FIELDS	net/minecraft/world/phys/Vec3	z	D	0
FIELDS	net/minecraft/world/level/Level	OVERWORLD	Lnet/minecraft/resources/ResourceKey;	1
FIELDS	net/minecraft/world/item/Items	DIAMOND	Lnet/minecraft/world/item/Item;	1
FIELDS	net/minecraft/world/entity/EntityType	PIG	Lnet/minecraft/world/entity/EntityType;	1
FIELDS	net/minecraft/world/entity/ai/attributes/Attributes	MAX_HEALTH	Lnet/minecraft/world/entity/ai/attributes/Attribute;	1
FIELDS	net/minecraft/world/entity/Entity	xo	D	0
FIELDS	net/minecraft/world/entity/Entity	yo	D	0
FIELDS	net/minecraft/world/entity/Entity	zo	D	0
FIELDS	net/minecraft/world/entity/Entity	yRotO	F	0
FIELDS	net/minecraft/world/entity/Entity	xRotO	F	0
METHODS_CLIENT	net/minecraft/client/Minecraft	getInstance	()Lnet/minecraft/client/Minecraft;	1
METHODS_CLIENT	net/minecraft/client/Minecraft	getCameraEntity	()Lnet/minecraft/world/entity/Entity;	0
METHODS_CLIENT	com/mojang/blaze3d/vertex/PoseStack	last	()Lcom/mojang/blaze3d/vertex/PoseStack$Pose;	0
METHODS_CLIENT	com/mojang/blaze3d/vertex/PoseStack$Pose	pose	()Lorg/joml/Matrix4f;	0
FIELDS_CLIENT	net/minecraft/client/Minecraft	level	Lnet/minecraft/client/multiplayer/ClientLevel;	0
SAM_CLIENT	net/minecraft/client/renderer/entity/EntityRendererProvider	create	(Lnet/minecraft/client/renderer/entity/EntityRendererProvider$Context;)Lnet/minecraft/client/renderer/entity/EntityRenderer;	0
